Investments,Currency,Quantity/Nominal Value,Market Value EUR' 000,% of Net Assets
Apple Inc.,USD,25131,6078,4.83
NVIDIA Corp.,USD,42190,5471,4.35
Microsoft Corp.,USD,9367,3813,3.03
Alphabet Inc. 'A',USD,16477,3012,2.39
Amazon.com Inc.,USD,8760,1856,1.47
Meta Platforms Inc. 'A',USD,3167,1791,1.42
Gilead Sciences Inc.,USD,15926,1421,1.13
Johnson & Johnson,USD,10050,1404,1.12
AbbVie Inc.,USD,7023,1205,0.96
JPMorgan Chase & Co.,USD,5233,1211,0.96
Discover Financial Services,USD,6674,1116,0.89
Bristol-Myers Squibb Co.,USD,20371,1113,0.88
Walmart Inc.,USD,12278,1071,0.85
Cisco Systems Inc.,USD,18414,1053,0.84
NetApp Inc.,USD,9146,1025,0.81
Novartis AG,CHF,10440,987,0.78
AT&T Inc.,USD,43837,964,0.77
China Construction Bank Corp. 'H',HKD,1181000,952,0.76
Trane Technologies plc,USD,2426,865,0.69
Merck & Co. Inc.,USD,8998,864,0.69
Broadcom Inc.,USD,3674,823,0.65
S&P Global Inc.,USD,1688,812,0.64
Republic Services Inc. 'A',USD,3812,741,0.59
Taiwan Semiconductor Manufacturing Co. Ltd.,TWD,23000,728,0.58
Synchrony Financial,USD,11335,711,0.57
Aflac Inc.,USD,7059,705,0.56
Fair Isaac Corp.,USD,364,700,0.56
Koninklijke Ahold Delhaize NV,EUR,21908,690,0.55
Agricultural Bank of China Ltd. 'H',HKD,1220000,672,0.54
UniCredit SpA,EUR,17426,671,0.53
Telefonaktiebolaget LM Ericsson 'B',SEK,81560,641,0.51
NN Group NV,EUR,15204,640,0.51
Electronic Arts Inc.,USD,4421,625,0.50
Manhattan Associates Inc.,USD,2373,619,0.49
Zoom Communications Inc. 'A',USD,7762,612,0.49
Plus500 Ltd.,GBP,18415,603,0.48
Spotify Technology SA,USD,1388,600,0.48
HP Inc.,USD,18169,572,0.45
Incyte Corp.,USD,8577,572,0.45
The Procter & Gamble Co.,USD,3494,566,0.45
WW Grainger Inc.,USD,555,565,0.45
TJX Cos. Inc. (The),USD,4755,555,0.44
Costco Wholesale Corp.,USD,622,550,0.44
Bank of China Ltd. 'H',HKD,1096000,541,0.43
Dropbox Inc. 'A',USD,18534,538,0.43
Colgate-Palmolive Co.,USD,6055,532,0.42
Bancolombia SA ADR Preference,USD,17507,533,0.42
Chevron Corp.,USD,3784,529,0.42
Yelp Inc. 'A',USD,13982,523,0.42
Shell plc,EUR,16887,508,0.40
Roche Holding AG,CHF,1860,506,0.40
ABN AMRO Bank NV Reg. S CVA,EUR,33760,503,0.40
Verizon Communications Inc.,USD,12784,494,0.39
Progressive Corp. (The),USD,2118,490,0.39
Intuitive Surgical Inc.,USD,946,477,0.38
Stryker Corp.,USD,1368,476,0.38
Fortescue Ltd.,AUD,43805,478,0.38
Pfizer Inc.,USD,18434,472,0.38
General Electric Co.,USD,2908,468,0.37
Lowe's Cos. Inc.,USD,1962,468,0.37
Booking Holdings Inc.,USD,97,465,0.37
Commonwealth Bank of Australia,AUD,5047,463,0.37
Boston Scientific Corp.,USD,5327,459,0.37
Arista Networks Inc.,USD,4273,456,0.36
Chubb Ltd.,USD,1710,456,0.36
Motorola Solutions Inc.,USD,999,446,0.35
Marsh & McLennan Cos. Inc.,USD,2154,442,0.35
McKesson Corp.,USD,785,432,0.34
Amphenol Corp. 'A',USD,6434,431,0.34
Novo Nordisk A/S 'B',DKK,5071,425,0.34
Nintendo Co. Ltd.,JPY,7400,421,0.34
DBS Group Holdings Ltd.,SGD,13500,418,0.33
MediaTek Inc.,TWD,10000,417,0.33
Fortinet Inc.,USD,4519,412,0.33
QUALCOMM Inc.,USD,2735,406,0.32
Monday.com Ltd.,USD,1768,402,0.32
Nokia OYJ,EUR,93510,400,0.32
Westpac Banking Corp.,AUD,20886,404,0.32
Waste Connections Inc.,USD,2332,386,0.31
Honda Motor Co. Ltd.,JPY,40400,381,0.30
KDDI Corp.,JPY,12300,381,0.30
Garmin Ltd.,USD,1862,371,0.29
Howmet Aerospace Inc.,USD,3493,369,0.29
Fairfax Financial Holdings Ltd.,CAD,274,368,0.29
BNP Paribas SA,EUR,6208,368,0.29
Panasonic Holdings Corp.,JPY,36300,366,0.29
Hoya Corp.,JPY,3000,365,0.29
Deutsche Telekom AG,EUR,12587,363,0.29
JD.com Inc. 'A',HKD,20700,350,0.28
Deckers Outdoor Corp.,USD,1785,350,0.28
Brown & Brown Inc.,USD,3538,349,0.28
Canon Inc.,JPY,10900,346,0.27
Mercedes-Benz Group AG,EUR,6313,340,0.27
Intesa Sanpaolo SpA,EUR,88082,340,0.27
Warner Bros Discovery Inc.,USD,33392,341,0.27
Taiwan Semiconductor Manufacturing Co. Ltd. ADR,USD,1768,337,0.27
Masco Corp.,USD,4809,337,0.27
Thomson Reuters Corp.,CAD,2140,332,0.26
CGI Inc.,CAD,3112,329,0.26
CK Hutchison Holdings Ltd.,HKD,63500,328,0.26
Mettler-Toledo International Inc.,USD,278,328,0.26
VeriSign Inc.,USD,1640,328,0.26
Telefonica SA,EUR,82589,325,0.26
EMCOR Group Inc.,USD,741,325,0.26
Nordea Bank Abp,SEK,30855,324,0.26
Moody's Corp.,USD,708,324,0.26
Malayan Banking Bhd.,MYR,145257,321,0.25
Kongsberg Gruppen ASA,NOK,2946,321,0.25
