Security Name (Fund);SPYI;AVWC
Apple Inc.;4,508323886;3,757808862
NVIDIA Corporation;5,784997953;3,609691678
Microsoft Corporation;4,686093465;3,168770809
Amazon.com Inc.;2,834433015;2,523486348
Meta Platforms Inc Class A;2,202153817;2,4011658
Alphabet Inc. Class A;1,645506334;1,455340515
Alphabet Inc. Class C;1,331840406;1,177257939
JPMorgan Chase & Co.;1,123415423;1,121679456
Exxon Mobil Corporation;0,607437478;0,806014927
Costco Wholesale Corporation;0,578329677;0,743061041
Chevron Corporation;0,460878551;0,652878137
Broadcom Inc.;1,75313366;0,622374198
Visa Inc. Class A;0,737724915;0,602337839
Walmart Inc.;0,533047521;0,589892249
Mastercard Incorporated Class A;0,627867414;0,57584079
Johnson & Johnson;0,502044267;0,569966537
Netflix Inc.;0,687280144;0,562291096
Berkshire Hathaway Inc. Class B;0,807300108;0,513638026
Tesla Inc.;1,299781789;0,500126937
Home Depot Inc.;0,55230133;0,496724524
Eli Lilly and Company;0,744419381;0,486789666
Caterpillar Inc.;0,345507959;0,480108878
Wells Fargo & Company;0,404500645;0,472286855
Gilead Sciences Inc.;0,220624663;0,469199414
AT&T Inc;0,282102177;0,462859472
Verizon Communications Inc.;0,22674288;0,456292656
TJX Companies Inc;0,252230419;0,419362599
Royal Caribbean Group;0,156546809;0,384520028
Bank of America Corp;0,50466561;0,384039451
Lam Research Corporation;0,207885488;0,368356529
AbbVie Inc.;0,53044193;0,360659924
Deere & Company;0,211101457;0,359832882
Capital One Financial Corp;0,257063561;0,357550913
ConocoPhillips;0,184462732;0,349376192
Oracle Corporation;0,488865357;0,338998295
Union Pacific Corporation;0,158385818;0,335437349
QUALCOMM Incorporated;0,252204166;0,315530523
Palantir Technologies Inc. Class A;0,457148027;0,309045961
Goldman Sachs Group Inc.;0,377892111;0,305176794
Comcast Corporation Class A;0,202000921;0,292242368
Progressive Corporation;0,239377044;0,290807629
Roche Holding Ltd Dividend Right Cert.;0,260803273;0,289269032
Applied Materials Inc.;0,185564038;0,280791159
MercadoLibre Inc.;0,154144677;0,28016978
T-Mobile US Inc.;0,152711273;0,275495036
Merck & Co. Inc.;0,259199227;0,268454819
Rheinmetall AG;0,110097715;0,261896845
Travelers Companies Inc.;0,114340169;0,252151746
KLA Corporation;0,188866641;0,251612735
Procter & Gamble Company;0,433264534;0,248464276
Williams Companies Inc.;0,097321786;0,244390184
Cheniere Energy Inc.;0,096735035;0,234182951
Citigroup Inc.;0,312489802;0,232185397
Charles Schwab Corp;0,22422261;0,229629701
CSX Corporation;0,126169684;0,226836409
Fastenal Company;0,007588374;0,226188366
Morgan Stanley;0,234815619;0,226021859
Ameriprise Financial Inc.;0,067049672;0,223438921
General Motors Company;0,106346188;0,219865444
EOG Resources Inc.;0,127630653;0,219255771
UniCredit S.p.A.;0,215148327;0,213790399
Kroger Co.;0,115425722;0,203819144
Zurich Insurance Group Ltd;0,078745298;0,202414051
Ross Stores Inc.;0,124108839;0,199479799
IDEXX Laboratories Inc.;0,079360927;0,198904937
Automatic Data Processing Inc.;0,192682486;0,198838405
Cummins Inc.;0,141430441;0,19644331
PACCAR Inc;0,010914605;0,194939427
Marathon Petroleum Corporation;0,118685008;0,194749306
Hartford Insurance Group Inc.;0,057691859;0,193228019
Delta Air Lines Inc.;0,002533396;0,19322255
American Express Company;0,218200216;0,192937756
W.W. Grainger Inc.;0,108380781;0,191564903
American International Group Inc.;0,070866831;0,190423458
VINCI SA;0,10369203;0,189126788
Coca-Cola Company;0,325147594;0,18798952
GE Aerospace;0,416467988;0,186442386
Texas Instruments Incorporated;0,211089643;0,185251582
Vertex Pharmaceuticals Incorporated;0,138297169;0,185179781
Bank of New York Mellon Corp;0,099800051;0,183818537
United Parcel Service Inc. Class B;0,056625995;0,181330674
Targa Resources Corp.;0,002793299;0,178671944
PepsiCo Inc.;0,243131196;0,178313718
Safran SA;0,202470846;0,177000949
Walt Disney Company;0,320710869;0,174306404
Baker Hughes Company Class A;0,081144805;0,171874117
Arista Networks Inc.;0,226014365;0,171399667
Carnival Corporation;0,012971513;0,170579975
Compagnie de Saint-Gobain SA;0,083527248;0,170101342
Commonwealth Bank of Australia;0,240529542;0,169978079
Valero Energy Corporation;0,100966988;0,169865035
PNC Financial Services Group Inc.;0,132056876;0,169571058
Zoetis Inc. Class A;0,130473832;0,169470861
BlackRock Inc.;0,154824624;0,168341047
EMCOR Group Inc.;0,012530465;0,168314551
FedEx Corporation;0,111078257;0,167445414
GE Vernova Inc.;0,219775385;0,167247973
United Rentals Inc.;0,15006499;0,165205803
U.S. Bancorp;0,101838581;0,163405453
Micron Technology Inc.;0,189314251;0,163185078
United Airlines Holdings Inc.;0,01691731;0,162693135
Williams-Sonoma Inc.;0,009050656;0,162651424
Phillips 66;0,11657297;0,161957398
UBS Group AG;0,17695968;0,160873427
TE Connectivity plc;0,088486403;0,159305679
Chubb Limited;0,100074393;0,158547283
National Australia Bank Limited;0,121455992;0,158334752
Aflac Incorporated;0,010724272;0,157749824
eBay Inc.;0,10830071;0,156407276
Linde plc;0,286886751;0,1561897
Norfolk Southern Corporation;0,094159635;0,156093788
Westpac Banking Corporation;0,102842751;0,154115674
Jabil Inc.;0,003591384;0,154029727
Amgen Inc.;0,220087793;0,154026941
MetLife Inc.;0,107837348;0,151244251
Swiss Re AG;0,074459528;0,150465526
Ford Motor Company;0,073349034;0,150428115
Deutsche Telekom AG;0,148300801;0,14938807
Royal Bank of Canada;0,208360664;0,147194818
Chipotle Mexican Grill Inc.;0,110847232;0,146125795
Abbott Laboratories;0,246440362;0,146114344
Advanced Micro Devices Inc.;0,373950252;0,145400551
Cisco Systems Inc.;0,341461089;0,145367605
Deutsche Bank Aktiengesellschaft;0,101267583;0,143993561
Airbus SE;0,192308384;0,143642181
Synchrony Financial;0,00259509;0,143298921
